                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0913,                0.76395,                 1.0522,                0.84456,                0.85691,                0.88023,                0.67033,                0.96176,                 1.0618,                  1.007,              0.0010505,              0.0010505,              0.0010505
                     36,                 1.0502,                0.79304,                 1.0324,                0.77881,                 0.6679,                0.73103,                0.55163,                 1.0448,                 1.8261,                 1.0581,              0.0010487,              0.0010487,              0.0010487
                     37,                 1.0515,                0.71356,                 1.0243,                0.77881,                 0.6679,                0.73103,                0.55163,                 1.0448,                 1.8261,                 1.0581,              0.0010468,              0.0010468,              0.0010468
                     38,                 1.1001,                 0.7719,                 1.0094,                0.76212,                0.68431,                0.81432,                 0.5646,                 1.1484,                 2.5641,                 1.1051,               0.001045,               0.001045,               0.001045
                     39,                  1.076,                0.75795,                0.99144,                0.79821,                0.84528,                0.89033,                0.61932,                 1.1079,                  2.206,                 1.0689,              0.0010432,              0.0010432,              0.0010432
                     40,                  1.033,                0.61101,                 1.0106,                0.76235,                0.79784,                0.88883,                0.63683,                 1.0284,                 2.2275,                 1.0485,              0.0010413,              0.0010413,              0.0010413
                     41,                 1.0463,                0.67495,                 1.0362,                0.76235,                0.79784,                0.88883,                0.63683,                 1.0284,                 2.2275,                 1.0485,              0.0010395,              0.0010395,              0.0010395
                     42,                  1.061,                0.64605,                 1.0199,                0.58147,                0.71585,                0.73579,                0.54355,                 1.0082,                 2.5293,                 1.0315,              0.0010377,              0.0010377,              0.0010377
                     43,                  1.038,                0.62183,                0.98102,                0.79516,                0.80483,                0.87993,                0.63462,                 1.0652,                 1.9071,                 1.0452,              0.0010358,              0.0010358,              0.0010358
                     44,                 1.0151,                0.59729,                0.99072,                0.76614,                0.82057,                0.83069,                0.60172,                 1.0668,                 1.7985,                 1.0386,               0.001034,               0.001034,               0.001034
                     45,                 1.0445,                0.63458,                 1.0205,                0.76614,                0.82057,                0.83069,                0.60172,                 1.0668,                 1.7985,                 1.0386,              0.0010322,              0.0010322,              0.0010322
                     46,                 1.0952,                0.66266,                 1.0352,                0.58179,                0.74833,                0.69843,                0.45732,                 1.2787,                 3.0049,                  1.144,              0.0010303,              0.0010303,              0.0010303
                     47,                 1.0487,                0.67009,                 1.0016,                0.61278,                0.64831,                0.58785,                0.38502,                 1.4558,                  4.181,                 1.3549,              0.0010285,              0.0010285,              0.0010285
                     48,                 1.0321,                0.65656,                  1.059,                 0.6614,                0.85485,                 0.7666,                0.50696,                 1.1514,                 2.1244,                 1.1171,              0.0010267,              0.0010267,              0.0010267
                     49,                 1.0236,                0.56755,                 1.0441,                 0.6614,                0.85485,                 0.7666,                0.50696,                 1.1514,                 2.1244,                 1.1171,              0.0010248,              0.0010248,              0.0010248
                     50,                 1.1139,                0.66028,                   1.02,                 0.8772,                0.89206,                0.90131,                0.60228,                 1.0508,                 1.1133,                  1.042,               0.001023,               0.001023,               0.001023
                     51,                 1.0301,                0.61732,                 1.0168,                0.78406,                0.87668,                 0.9062,                0.66414,                 1.0461,                 1.1589,                 1.0147,              0.0010212,              0.0010212,              0.0010212
                     52,                 1.0055,                0.59923,                0.99297,                0.81952,                   0.82,                0.85802,                0.57823,                 1.1761,                 1.1062,                 1.0778,              0.0010193,              0.0010193,              0.0010193
                     53,                 1.0884,                0.58388,                0.99238,                0.81952,                   0.82,                0.85802,                0.57823,                 1.1761,                 1.1062,                 1.0778,              0.0010175,              0.0010175,              0.0010175
                     54,                 1.0347,                0.66897,                0.99845,                 0.6157,                0.85333,                0.80722,                0.59529,                 1.0807,                 1.4029,                 1.0324,              0.0010157,              0.0010157,              0.0010157
                     55,                 1.0039,                0.59969,                 1.0259,                0.74441,                0.76761,                0.79226,                 0.5525,                 1.0971,                 1.0284,                 1.0505,              0.0010138,              0.0010138,              0.0010138
                     56,                  1.033,                 0.6054,                 1.0134,                0.76155,                0.93002,                0.85703,                0.57769,                  1.234,                0.97515,                 1.1407,               0.001012,               0.001012,               0.001012
                     57,                 1.0091,                0.62885,                 1.0009,                0.76155,                0.93002,                0.85703,                0.57769,                  1.234,                0.97515,                 1.1407,              0.0010102,              0.0010102,              0.0010102
                     58,                 1.0454,                  0.628,                 1.0068,                0.74692,                0.96592,                0.88722,                0.59281,                 1.2742,                0.99668,                  1.153,              0.0010083,              0.0010083,              0.0010083
                     59,                 1.0237,                0.57514,                 1.0189,                0.73544,                0.84324,                0.83286,                0.58657,                 1.1291,                0.97913,                 1.0821,              0.0010065,              0.0010065,              0.0010065
                     60,                 1.0655,                 0.6711,                 1.0039,                0.74056,                0.88915,                0.80352,                0.58016,                 1.0333,                0.91505,                 1.0553,              0.0010047,              0.0010047,              0.0010047
                     61,                0.98092,                0.62281,                0.99084,                0.74056,                0.88915,                0.80352,                0.58016,                 1.0333,                0.91505,                 1.0553,              0.0010028,              0.0010028,              0.0010028
                     62,                 1.0046,                0.63141,                0.98759,                0.70656,                0.79957,                0.72749,                0.52252,                  1.083,                 2.2765,                 1.0912,               0.001001,               0.001001,               0.001001
                     63,                0.97055,                0.61401,                0.97168,                0.67533,                0.87795,                0.76465,                0.55991,                 1.0256,                 1.9386,                 1.0488,             0.00099918,             0.00099918,             0.00099918
                     64,                 1.0379,                0.60504,                 1.0113,                0.68972,                0.81396,                0.73835,                0.53449,                 1.0007,                 1.3978,                  1.025,             0.00099734,             0.00099734,             0.00099734
                     65,                  1.028,                0.70102,                 1.0044,                0.68972,                0.81396,                0.73835,                0.53449,                 1.0007,                 1.3978,                  1.025,             0.00099551,             0.00099551,             0.00099551
                     66,                 1.0295,                 0.6041,                 0.9881,                 0.6992,                0.91015,                0.81192,                0.60043,                 1.0237,                 1.8134,                  1.036,             0.00099368,             0.00099368,             0.00099368
                     67,                 1.0437,                0.61896,                 0.9785,                0.73011,                0.82669,                0.71378,                0.50514,                 1.1265,                 3.2684,                 1.0722,             0.00099185,             0.00099185,             0.00099185
                     68,                0.99768,                 0.5846,                0.99918,                0.71784,                0.75739,                0.69043,                0.47595,                  1.141,                 3.3347,                 1.0698,             0.00099001,             0.00099001,             0.00099001
                     69,                0.98439,                0.57917,                0.98662,                0.71784,                0.75739,                0.69043,                0.47595,                  1.141,                 3.3347,                 1.0698,             0.00098818,             0.00098818,             0.00098818
                     70,                0.97288,                 0.6222,                 1.0108,                0.70071,                0.79699,                0.69715,                0.48724,                 1.1373,                 2.7507,                  1.069,             0.00098635,             0.00098635,             0.00098635
                     71,                 1.0503,                0.61894,                 1.0005,                0.73367,                0.78664,                0.79243,                0.54227,                 1.1973,                 1.2575,                 1.0945,             0.00098451,             0.00098451,             0.00098451
                     72,                 1.0731,                0.59382,                0.99938,                0.85025,                0.89324,                0.89404,                0.64104,                 1.0772,                0.75587,                 1.0274,             0.00098268,             0.00098268,             0.00098268
                     73,                 1.0224,                0.61382,                0.97906,                0.85025,                0.89324,                0.89404,                0.64104,                 1.0772,                0.75587,                 1.0274,             0.00098085,             0.00098085,             0.00098085
                     74,                 1.0123,                0.59105,                 1.0113,                0.91914,                  0.945,                0.93925,                0.66231,                 1.0916,                0.64869,                 1.0431,             0.00097901,             0.00097901,             0.00097901
                     75,                 1.0278,                0.65627,                 1.0234,                0.90589,                0.92104,                0.94686,                0.67109,                 1.0863,                0.73582,                 1.0296,             0.00097718,             0.00097718,             0.00097718
                     76,                 1.0201,                0.58253,                0.98775,                0.75249,                0.85673,                0.90458,                0.66659,                 1.0376,                 1.1787,                 1.0053,             0.00097535,             0.00097535,             0.00097535
                     77,                0.99839,                0.60468,                 1.0218,                0.75249,                0.85673,                0.90458,                0.66659,                 1.0376,                 1.1787,                 1.0053,             0.00097351,             0.00097351,             0.00097351
                     78,                0.95107,                0.54662,                 0.9641,                0.76472,                0.82563,                 0.8784,                0.61931,                 1.1245,                 1.2904,                 1.0507,             0.00097168,             0.00097168,             0.00097168
                     79,                 1.0283,                 0.6035,                  1.019,                0.87621,                0.86692,                0.91166,                0.60949,                 1.2549,                0.86366,                 1.1231,             0.00096985,             0.00096985,             0.00096985
                     80,                 1.0298,                0.57984,                0.98864,                0.91974,                0.94232,                0.94007,                0.63318,                 1.1884,                0.67773,                 1.0867,             0.00096801,             0.00096801,             0.00096801
                     81,                 1.0273,                0.57908,                  1.051,                0.91974,                0.94232,                0.94007,                0.63318,                 1.1884,                0.67773,                 1.0867,             0.00096618,             0.00096618,             0.00096618
                     82,                 1.0154,                0.53215,                 1.0131,                0.93911,                0.95295,                0.94999,                0.65851,                 1.1258,                0.67527,                 1.0588,             0.00096435,             0.00096435,             0.00096435
