                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.88888,                0.47723,                0.95464,                0.85863,                0.92406,                0.95857,                0.72187,                0.99944,                0.55549,                 1.0064,             0.00086536,             0.00086536,             0.00086536
                    137,                0.79286,                0.44044,                0.93523,                0.85863,                0.92406,                0.95857,                0.72187,                0.99944,                0.55549,                 1.0064,             0.00086352,             0.00086352,             0.00086352
                    138,                0.83088,                0.47284,                0.93838,                 0.8272,                0.86604,                0.94889,                0.69504,                 1.0719,                0.72367,                 1.0379,             0.00086169,             0.00086169,             0.00086169
                    139,                0.92722,                0.49857,                 0.9847,                0.91387,                0.89374,                0.95137,                0.70519,                 1.0926,                0.56868,                 1.0495,             0.00085986,             0.00085986,             0.00085986
                    140,                0.85727,                0.44509,                 0.9576,                  0.941,                  0.913,                0.95459,                0.72292,                0.98985,                0.53167,                 1.0063,             0.00085803,             0.00085803,             0.00085803
                    141,                0.87484,                 0.4592,                 0.9544,                  0.941,                  0.913,                0.95459,                0.72292,                0.98985,                0.53167,                 1.0063,             0.00085619,             0.00085619,             0.00085619
                    142,                0.90706,                0.49344,                0.96288,                0.84927,                0.96167,                0.94943,                0.72259,                0.97586,                0.57434,                0.99451,             0.00085436,             0.00085436,             0.00085436
                    143,                0.91884,                0.50581,                  0.976,                0.95673,                0.91362,                0.94764,                0.70798,                 1.0232,                0.53402,                 1.0106,             0.00085253,             0.00085253,             0.00085253
                    144,                0.89971,                0.50346,                0.95715,                0.93713,                  0.945,                0.96343,                0.71302,                 1.0144,                 0.5103,                 1.0072,             0.00085069,             0.00085069,             0.00085069
                    145,                0.86919,                0.49739,                0.96525,                0.93713,                  0.945,                0.96343,                0.71302,                 1.0144,                 0.5103,                 1.0072,             0.00084886,             0.00084886,             0.00084886
                    146,                0.92276,                0.49267,                0.99245,                0.97135,                0.95224,                0.96558,                0.68356,                 1.1141,                0.49277,                 1.0526,             0.00084703,             0.00084703,             0.00084703
                    147,                0.93414,                0.50638,                0.95991,                0.92049,                 0.9446,                0.96764,                0.69776,                 1.1043,                0.54832,                 1.0523,             0.00084519,             0.00084519,             0.00084519
                    148,                0.93884,                0.48108,                0.99817,                0.90777,                0.95154,                0.96476,                0.69693,                 1.0859,                0.53956,                 1.0452,             0.00084336,             0.00084336,             0.00084336
                    149,                0.88663,                 0.4843,                0.96079,                0.90777,                0.95154,                0.96476,                0.69693,                 1.0859,                0.53956,                 1.0452,             0.00084153,             0.00084153,             0.00084153
                    150,                0.82746,                0.47558,                0.95243,                0.96082,                0.95388,                0.96603,                0.71986,                 1.0391,                0.49346,                 1.0258,             0.00083969,             0.00083969,             0.00083969
                    151,                0.90757,                0.46427,                 1.0094,                0.95052,                0.94818,                0.96534,                0.74484,                0.96204,                0.48105,                 0.9851,             0.00083786,             0.00083786,             0.00083786
                    152,                0.87346,                0.47681,                0.95011,                0.94775,                  0.945,                0.96678,                0.73897,                0.99961,                 0.5012,                0.99913,             0.00083603,             0.00083603,             0.00083603
                    153,                0.87578,                0.44002,                0.96246,                0.94775,                  0.945,                0.96678,                0.73897,                0.99961,                 0.5012,                0.99913,             0.00083419,             0.00083419,             0.00083419
                    154,                0.88596,                 0.4572,                0.95557,                0.94665,                  0.945,                0.96289,                0.70232,                 1.1478,                0.51408,                 1.0617,             0.00083236,             0.00083236,             0.00083236
                    155,                0.91096,                0.46428,                0.94986,                 0.9552,                   0.97,                0.97099,                0.69355,                 1.1476,                0.49287,                 1.0599,             0.00083053,             0.00083053,             0.00083053
                    156,                0.87531,                 0.4743,                 0.9846,                0.95253,                   0.97,                0.96337,                0.69798,                  1.107,                0.48477,                 1.0357,             0.00082869,             0.00082869,             0.00082869
                    157,                0.83119,                0.44565,                0.94758,                0.95253,                   0.97,                0.96337,                0.69798,                  1.107,                0.48477,                 1.0357,             0.00082686,             0.00082686,             0.00082686
                    158,                0.88851,                0.46319,                0.95908,                0.95216,                0.95752,                0.96092,                0.70852,                 1.0687,                0.47783,                 1.0085,             0.00082503,             0.00082503,             0.00082503
                    159,                0.84851,                 0.4649,                0.96285,                0.92274,                0.95012,                0.93921,                0.71391,                0.97895,                0.47946,                0.98443,              0.0008232,              0.0008232,              0.0008232
                    160,                0.86272,                0.44624,                0.96117,                  0.909,                0.95503,                0.95421,                0.70128,                 1.0356,                 0.4946,                 1.0198,             0.00082136,             0.00082136,             0.00082136
                    161,                0.81334,                0.41444,                0.96452,                  0.909,                0.95503,                0.95421,                0.70128,                 1.0356,                 0.4946,                 1.0198,             0.00081953,             0.00081953,             0.00081953
                    162,                0.81667,                0.41791,                0.92784,                0.90201,                0.90411,                 0.9405,                0.69985,                 1.0357,                0.54962,                 1.0232,              0.0008177,              0.0008177,              0.0008177
                    163,                0.76959,                0.41466,                0.89683,                0.93638,                0.91897,                0.94395,                0.71296,                0.96027,                0.50563,                0.99851,             0.00081586,             0.00081586,             0.00081586
                    164,                0.79065,                0.40237,                0.95205,                0.95181,                 0.9428,                0.94775,                0.72417,                0.97926,                0.46788,                 1.0083,             0.00081403,             0.00081403,             0.00081403
                    165,                0.79423,                0.40956,                0.92103,                0.95181,                 0.9428,                0.94775,                0.72417,                0.97926,                0.46788,                 1.0083,              0.0008122,              0.0008122,              0.0008122
                    166,                0.81881,                0.42392,                0.92994,                0.95291,                 0.9494,                0.95188,                0.70709,                 1.0058,                 0.4826,                 1.0153,             0.00081036,             0.00081036,             0.00081036
                    167,                0.84486,                0.43732,                0.95809,                0.96578,                0.96455,                0.96363,                0.73372,                0.99267,                0.45339,                 1.0043,             0.00080853,             0.00080853,             0.00080853
                    168,                0.83073,                0.43835,                0.94551,                 0.9672,                0.95848,                0.96688,                0.74297,                0.93757,                0.45295,                0.99211,              0.0008067,              0.0008067,              0.0008067
                    169,                0.80947,                0.46473,                0.96314,                 0.9672,                0.95848,                0.96688,                0.74297,                0.93757,                0.45295,                0.99211,             0.00080486,             0.00080486,             0.00080486
                    170,                0.81057,                 0.4331,                0.96816,                0.96853,                0.96282,                0.97008,                 0.7364,                 0.9575,                0.43887,                0.99903,             0.00080303,             0.00080303,             0.00080303
                    171,                0.84873,                0.47202,                0.93328,                0.96788,                   0.97,                0.97059,                0.73668,                0.96972,                0.43754,                0.99962,              0.0008012,              0.0008012,              0.0008012
                    172,                0.77665,                0.44348,                0.92298,                0.96895,                   0.97,                0.96283,                0.73727,                0.95904,                0.43078,                0.99309,             0.00079936,             0.00079936,             0.00079936
                    173,                0.76123,                0.42547,                0.93322,                0.96895,                   0.97,                0.96283,                0.73727,                0.95904,                0.43078,                0.99309,             0.00079753,             0.00079753,             0.00079753
                    174,                0.79721,                0.43414,                0.93878,                 0.9659,                   0.97,                0.95754,                0.71212,                0.97859,                0.44725,                 1.0037,              0.0007957,              0.0007957,              0.0007957
                    175,                 0.7797,                0.40197,                0.94307,                0.96535,                   0.97,                 0.9551,                0.71478,                0.98821,                0.45489,                 1.0011,             0.00079387,             0.00079387,             0.00079387
                    176,                0.77249,                0.39848,                0.93198,                0.96539,                   0.97,                0.94857,                0.72338,                  0.942,                0.43453,                0.97772,             0.00079203,             0.00079203,             0.00079203
                    177,                0.78364,                0.41302,                0.93344,                0.96539,                   0.97,                0.94857,                0.72338,                  0.942,                0.43453,                0.97772,              0.0007902,              0.0007902,              0.0007902
                    178,                0.79536,                0.40956,                0.92766,                0.95779,                0.95182,                0.94866,                0.72266,                0.94119,                0.43801,                0.97713,             0.00078837,             0.00078837,             0.00078837
                    179,                0.80644,                 0.4653,                0.94638,                0.94432,                  0.945,                0.93346,                0.69044,                 1.0415,                0.48897,                 1.0235,             0.00078653,             0.00078653,             0.00078653
                    180,                0.82798,                0.46532,                0.94343,                0.94637,                0.94313,                0.94673,                0.68898,                 1.0633,                 0.4809,                  1.045,              0.0007847,              0.0007847,              0.0007847
                    181,                0.79358,                0.42933,                0.93218,                0.94637,                0.94313,                0.94673,                0.68898,                 1.0633,                 0.4809,                  1.045,             0.00078287,             0.00078287,             0.00078287
                    182,                0.82648,                0.43809,                0.95731,                0.93887,                0.93575,                0.94917,                 0.7056,                 1.0182,                0.49135,                 1.0256,             0.00078103,             0.00078103,             0.00078103
                    183,                0.81471,                0.41426,                0.96191,                0.90361,                0.93763,                0.94636,                0.71756,                0.98103,                0.50776,                 1.0047,              0.0007792,              0.0007792,              0.0007792
                    184,                0.79905,                0.40993,                0.93615,                0.93186,                0.94367,                0.95038,                0.69389,                 1.0704,                0.55688,                 1.0515,             0.00077737,             0.00077737,             0.00077737
                    185,                0.79874,                0.41298,                0.90938,                0.93186,                0.94367,                0.95038,                0.69389,                 1.0704,                0.55688,                 1.0515,             0.00077553,             0.00077553,             0.00077553
                    186,                0.79918,                0.41029,                0.93156,                0.91831,                0.92833,                0.95258,                 0.7045,                 1.1214,                0.54283,                 1.0731,              0.0007737,              0.0007737,              0.0007737
                    187,                 0.7884,                0.42713,                0.91807,                0.93852,                0.89176,                 0.9507,                0.70492,                 1.0696,                0.56275,                 1.0387,             0.00077187,             0.00077187,             0.00077187
                    188,                0.74936,                0.42936,                 0.9388,                 0.8949,                0.91726,                0.94703,                0.70011,                 1.0615,                0.56404,                 1.0275,             0.00077003,             0.00077003,             0.00077003
                    189,                0.76745,                 0.3864,                0.91807,                 0.8949,                0.91726,                0.94703,                0.70011,                 1.0615,                0.56404,                 1.0275,              0.0007682,              0.0007682,              0.0007682
                    190,                0.77019,                0.40587,                0.94254,                 0.9307,                  0.865,                0.94371,                0.69563,                 1.0923,                0.58102,                 1.0444,             0.00076637,             0.00076637,             0.00076637
                    191,                0.74716,                 0.3937,                0.91646,                0.91595,                0.87924,                0.94577,                0.69886,                 1.1109,                0.61154,                 1.0507,             0.00076453,             0.00076453,             0.00076453
                    192,                0.78062,                0.41191,                0.93572,                0.92472,                0.87813,                 0.9456,                 0.7132,                 1.0563,                0.58178,                 1.0249,              0.0007627,              0.0007627,              0.0007627
                    193,                0.72501,                 0.3821,                 0.9329,                0.92472,                0.87813,                 0.9456,                 0.7132,                 1.0563,                0.58178,                 1.0249,             0.00076087,             0.00076087,             0.00076087
                    194,                0.72771,                0.40977,                0.93321,                0.91572,                0.92333,                0.94108,                 0.7095,                 1.0317,                0.58505,                 1.0162,             0.00075904,             0.00075904,             0.00075904
                    195,                0.69312,                0.38792,                0.89326,                0.91435,                0.90008,                0.94512,                 0.7116,                 1.0048,                 0.6199,                   1.01,              0.0007572,              0.0007572,              0.0007572
                    196,                 0.6959,                0.37782,                0.91171,                0.88544,                0.90471,                0.93563,                0.69838,                 1.0454,                  0.645,                 1.0236,             0.00075537,             0.00075537,             0.00075537
                    197,                0.73153,                0.40779,                0.92446,                0.88544,                0.90471,                0.93563,                0.69838,                 1.0454,                  0.645,                 1.0236,             0.00075354,             0.00075354,             0.00075354
                    198,                0.68664,                0.36134,                0.90331,                0.88828,                0.92264,                0.96052,                0.73165,                 1.0096,                0.56801,                 1.0053,              0.0007517,              0.0007517,              0.0007517
                    199,                0.72724,                 0.3905,                 0.9326,                0.91763,                0.91233,                0.97279,                0.73365,                 1.0175,                0.51593,                 1.0099,             0.00074987,             0.00074987,             0.00074987
                    200,                0.72138,                0.40501,                0.92865,                0.93351,                0.92299,                0.97378,                0.74319,                0.98106,                0.47937,                 1.0082,             0.00074804,             0.00074804,             0.00074804
                    201,                0.73748,                0.40389,                0.95185,                0.93351,                0.92299,                0.97378,                0.74319,                0.98106,                0.47937,                 1.0082,              0.0007462,              0.0007462,              0.0007462
                    202,                0.74817,                0.40599,                0.94149,                0.93482,                  0.923,                0.97603,                0.72665,                 1.0089,                0.48374,                 1.0275,             0.00074437,             0.00074437,             0.00074437
                    203,                0.74933,                0.39605,                0.92628,                0.94713,                0.93583,                0.96002,                0.70956,                 1.0071,                 0.4604,                  1.031,             0.00074254,             0.00074254,             0.00074254
                    204,                0.70686,                0.37706,                0.90197,                0.93927,                0.93997,                0.96028,                0.69746,                 1.0691,                0.45712,                 1.0459,              0.0007407,              0.0007407,              0.0007407
                    205,                0.75004,                0.39338,                0.91707,                0.93927,                0.93997,                0.96028,                0.69746,                 1.0691,                0.45712,                 1.0459,             0.00073887,             0.00073887,             0.00073887
                    206,                0.81698,                0.43506,                 0.9232,                0.96604,                   0.97,                0.95832,                0.69333,                 1.0809,                0.44935,                 1.0432,             0.00073704,             0.00073704,             0.00073704
                    207,                0.80285,                0.42431,                0.90893,                 0.9669,                   0.97,                0.95923,                0.71032,                 1.0537,                0.44805,                 1.0234,              0.0007352,              0.0007352,              0.0007352
                    208,                0.79392,                0.41775,                0.94481,                0.96668,                   0.97,                 0.9613,                0.72381,                 1.0148,                0.41765,                 1.0182,             0.00073337,             0.00073337,             0.00073337
                    209,                0.70033,                0.39773,                 0.9063,                0.96668,                   0.97,                 0.9613,                0.72381,                 1.0148,                0.41765,                 1.0182,             0.00073154,             0.00073154,             0.00073154
                    210,                0.76245,                0.40408,                0.92035,                0.96425,                0.96229,                0.96208,                0.70903,                  1.078,                0.43096,                 1.0551,              0.0007297,              0.0007297,              0.0007297
                    211,                0.76751,                0.42118,                0.94717,                0.96242,                0.96018,                0.96208,                0.69541,                 1.1208,                0.43376,                 1.0823,             0.00072787,             0.00072787,             0.00072787
                    212,                0.75037,                0.39291,                0.93179,                 0.9616,                   0.97,                0.96485,                0.70836,                 1.0831,                0.41904,                 1.0624,             0.00072604,             0.00072604,             0.00072604
                    213,                0.70842,                0.36096,                0.88286,                 0.9616,                   0.97,                0.96485,                0.70836,                 1.0831,                0.41904,                 1.0624,             0.00072421,             0.00072421,             0.00072421
                    214,                0.74746,                0.40777,                0.92776,                0.95181,                0.95046,                0.96865,                0.72764,                 1.0167,                0.42008,                 1.0305,             0.00072237,             0.00072237,             0.00072237
                    215,                0.74865,                0.39389,                0.92066,                0.94545,                0.94467,                0.97153,                0.72099,                 1.0291,                0.44968,                 1.0368,             0.00072054,             0.00072054,             0.00072054
                    216,                0.74652,                0.39581,                 0.9239,                0.93438,                0.94385,                0.97245,                0.71067,                  1.078,                0.46095,                 1.0636,             0.00071871,             0.00071871,             0.00071871
                    217,                0.68414,                 0.3808,                0.90408,                0.93438,                0.94385,                0.97245,                0.71067,                  1.078,                0.46095,                 1.0636,             0.00071687,             0.00071687,             0.00071687
                    218,                0.70764,                 0.3847,                0.89933,                0.93265,                0.93498,                0.97121,                0.69408,                 1.0916,                0.45508,                 1.0592,             0.00071504,             0.00071504,             0.00071504
                    219,                0.70934,                0.37239,                 0.9288,                0.90753,                0.96618,                0.96942,                0.70888,                 1.0741,                0.44773,                 1.0445,             0.00071321,             0.00071321,             0.00071321
                    220,                0.73386,                0.38823,                0.92255,                0.94829,                0.94936,                0.97519,                 0.7223,                   1.06,                0.43998,                 1.0414,             0.00071137,             0.00071137,             0.00071137
                    221,                0.75768,                 0.4074,                 0.9293,                0.94829,                0.94936,                0.97519,                 0.7223,                   1.06,                0.43998,                 1.0414,             0.00070954,             0.00070954,             0.00070954
                    222,                0.71663,                0.43575,                0.91552,                0.95045,                0.94684,                0.97375,                0.71929,                 1.0704,                0.43631,                 1.0541,             0.00070771,             0.00070771,             0.00070771
                    223,                0.73192,                0.39974,                0.92289,                0.94962,                0.94698,                0.97431,                 0.7049,                  1.105,                0.44774,                 1.0777,             0.00070587,             0.00070587,             0.00070587
                    224,                0.68048,                0.37948,                0.89494,                0.94467,                0.95212,                 0.9723,                0.70071,                 1.0839,                0.44542,                 1.0683,             0.00070404,             0.00070404,             0.00070404
                    225,                0.67369,                0.38004,                0.90657,                0.94467,                0.95212,                 0.9723,                0.70071,                 1.0839,                0.44542,                 1.0683,             0.00070221,             0.00070221,             0.00070221
                    226,                0.70211,                0.40016,                0.91909,                0.93809,                0.93591,                0.96421,                0.72373,                 1.0281,                0.48851,                 1.0315,             0.00070037,             0.00070037,             0.00070037
                    227,                0.66122,                0.35199,                0.90335,                 0.9264,                0.95146,                0.96341,                0.73579,                0.98671,                0.47485,                 1.0082,             0.00069854,             0.00069854,             0.00069854
                    228,                0.64328,                0.36551,                 0.8864,                0.92396,                0.95218,                0.96363,                0.74188,                0.94542,                0.45187,                0.99407,             0.00069671,             0.00069671,             0.00069671
                    229,                0.70338,                 0.3592,                0.92025,                0.92396,                0.95218,                0.96363,                0.74188,                0.94542,                0.45187,                0.99407,             0.00069487,             0.00069487,             0.00069487
                    230,                0.68121,                0.36141,                0.90248,                0.92981,                0.93728,                0.96189,                0.75465,                0.96179,                0.47721,                0.99936,             0.00069304,             0.00069304,             0.00069304
                    231,                0.71529,                0.37136,                0.91479,                0.94491,                0.92154,                 0.9453,                0.73511,                0.98748,                0.51318,                   1.01,             0.00069121,             0.00069121,             0.00069121
                    232,                0.68498,                0.37446,                0.89953,                 0.9134,                   0.95,                0.95337,                0.73965,                0.98698,                 0.4698,                 1.0133,             0.00068938,             0.00068938,             0.00068938
                    233,                0.65492,                0.35702,                0.89488,                 0.9134,                   0.95,                0.95337,                0.73965,                0.98698,                 0.4698,                 1.0133,             0.00068754,             0.00068754,             0.00068754
                    234,                0.73104,                0.40262,                0.92848,                0.91828,                0.94755,                0.95033,                0.72537,                0.98219,                0.45572,                 1.0202,             0.00068571,             0.00068571,             0.00068571
                    235,                0.65119,                0.35642,                0.91905,                0.95895,                0.93525,                0.96217,                 0.7134,                 1.0638,                 0.4552,                 1.0613,             0.00068388,             0.00068388,             0.00068388
                    236,                0.69944,                0.36679,                 0.9064,                0.95646,                0.93731,                0.96158,                0.71172,                 1.0522,                0.45634,                 1.0521,             0.00068204,             0.00068204,             0.00068204
                    237,                0.69959,                 0.3621,                0.91898,                0.95646,                0.93731,                0.96158,                0.71172,                 1.0522,                0.45634,                 1.0521,             0.00068021,             0.00068021,             0.00068021
                    238,                0.72083,                0.38336,                0.91718,                0.95616,                 0.9497,                 0.9567,                0.72989,                0.99541,                0.45048,                 1.0211,             0.00067838,             0.00067838,             0.00067838
                    239,                0.74387,                 0.3926,                0.92308,                0.95394,                0.94967,                0.96385,                0.72689,                 1.0133,                0.44903,                 1.0268,             0.00067654,             0.00067654,             0.00067654
                    240,                0.68675,                0.38261,                0.88877,                0.94895,                0.95104,                0.96457,                0.72156,                 1.0415,                0.45966,                 1.0362,             0.00067471,             0.00067471,             0.00067471
                    241,                0.64928,                0.35535,                0.88297,                0.94895,                0.95104,                0.96457,                0.72156,                 1.0415,                0.45966,                 1.0362,             0.00067288,             0.00067288,             0.00067288
                    242,                0.69746,                0.37925,                0.94895,                0.95612,                0.94659,                0.96593,                0.70081,                 1.1149,                0.47335,                 1.0711,             0.00067104,             0.00067104,             0.00067104
                    243,                0.69247,                0.37255,                0.91401,                0.96934,                0.96097,                0.97023,                0.69969,                 1.1335,                0.46216,                 1.0819,             0.00066921,             0.00066921,             0.00066921
                    244,                0.71384,                0.36266,                0.89399,                0.96054,                 0.9489,                0.97095,                0.71566,                 1.0612,                0.46509,                 1.0506,             0.00066738,             0.00066738,             0.00066738
                    245,                0.64964,                 0.3566,                0.87898,                0.96054,                 0.9489,                0.97095,                0.71566,                 1.0612,                0.46509,                 1.0506,             0.00066554,             0.00066554,             0.00066554
                    246,                0.62466,                0.35545,                0.88795,                 0.9467,                0.93667,                0.96856,                0.71902,                 1.0346,                0.49023,                 1.0349,             0.00066371,             0.00066371,             0.00066371
                    247,                0.65846,                0.36117,                0.89664,                0.94391,                0.91507,                0.96653,                  0.719,                 1.0452,                0.53362,                 1.0378,             0.00066188,             0.00066188,             0.00066188
                    248,                0.67075,                0.35481,                0.88821,                0.92079,                0.93716,                0.95948,                0.68958,                 1.0787,                0.52963,                 1.0549,             0.00066005,             0.00066005,             0.00066005
                    249,                0.62883,                0.34962,                0.88295,                0.92079,                0.93716,                0.95948,                0.68958,                 1.0787,                0.52963,                 1.0549,             0.00065821,             0.00065821,             0.00065821
                    250,                 0.6851,                0.36114,                0.89455,                0.93504,                0.93781,                0.96081,                0.70399,                 1.0773,                0.53012,                 1.0577,             0.00065638,             0.00065638,             0.00065638
                    251,                0.66901,                0.36817,                0.91886,                0.93469,                0.93995,                0.96703,                 0.7191,                 1.0329,                0.49117,                 1.0382,             0.00065455,             0.00065455,             0.00065455
                    252,                0.60993,                 0.3308,                0.88912,                0.94708,                0.95359,                 0.9674,                0.73575,                0.97469,                0.45014,                 1.0169,             0.00065271,             0.00065271,             0.00065271
                    253,                0.61248,                0.32997,                0.88248,                0.94708,                0.95359,                 0.9674,                0.73575,                0.97469,                0.45014,                 1.0169,             0.00065088,             0.00065088,             0.00065088
                    254,                0.69352,                0.36265,                0.92094,                0.95034,                 0.9483,                0.96761,                 0.7344,                0.97791,                0.45056,                 1.0152,             0.00064905,             0.00064905,             0.00064905
                    255,                0.70604,                0.35645,                0.91292,                0.93685,                0.96735,                0.96357,                0.73755,                0.99499,                0.46003,                 1.0221,             0.00064721,             0.00064721,             0.00064721
                    256,                0.70376,                0.36531,                 0.9109,                0.94982,                0.96016,                0.95825,                0.71812,                 1.0345,                0.46375,                 1.0506,             0.00064538,             0.00064538,             0.00064538
                    257,                0.66258,                 0.3542,                0.89942,                0.94982,                0.96016,                0.95825,                0.71812,                 1.0345,                0.46375,                 1.0506,             0.00064355,             0.00064355,             0.00064355
                    258,                0.63079,                0.33949,                 0.8854,                0.96291,                0.95685,                 0.9642,                0.72057,                 1.0523,                0.45495,                 1.0542,             0.00064171,             0.00064171,             0.00064171
                    259,                0.71958,                0.38543,                0.90004,                0.96933,                0.95934,                0.96932,                0.73985,                  1.019,                0.42952,                 1.0292,             0.00063988,             0.00063988,             0.00063988
                    260,                0.73373,                0.37053,                0.91456,                0.95775,                0.95788,                0.97426,                0.72614,                 1.0292,                0.43361,                 1.0308,             0.00063805,             0.00063805,             0.00063805
                    261,                0.69519,                0.35116,                0.91766,                0.95775,                0.95788,                0.97426,                0.72614,                 1.0292,                0.43361,                 1.0308,             0.00063621,             0.00063621,             0.00063621
                    262,                  0.675,                0.38089,                0.91788,                0.94981,                0.96333,                 0.9681,                0.71982,                 1.0403,                0.44464,                 1.0479,             0.00063438,             0.00063438,             0.00063438
                    263,                0.63029,                0.33936,                0.89248,                0.96221,                0.94446,                0.97021,                0.72536,                 1.0277,                 0.4203,                   1.05,             0.00063255,             0.00063255,             0.00063255
                    264,                0.60318,                0.31885,                0.87407,                0.95668,                0.95503,                0.96068,                0.72699,                0.96918,                0.42792,                 1.0194,             0.00063071,             0.00063071,             0.00063071
                    265,                0.58027,                0.33858,                0.87357,                0.95668,                0.95503,                0.96068,                0.72699,                0.96918,                0.42792,                 1.0194,             0.00062888,             0.00062888,             0.00062888
                    266,                0.59344,                0.32577,                0.87241,                0.96718,                0.95826,                0.95736,                0.72721,                 0.9699,                0.42388,                 1.0192,             0.00062705,             0.00062705,             0.00062705
                    267,                0.62064,                 0.3363,                0.88509,                   0.97,                   0.97,                 0.9566,                0.73676,                0.95904,                0.40995,                 1.0088,             0.00062522,             0.00062522,             0.00062522
                    268,                0.66106,                0.35705,                0.91467,                0.95676,                0.96471,                0.95683,                0.73553,                 0.9633,                0.38309,                 1.0087,             0.00062338,             0.00062338,             0.00062338
                    269,                0.58028,                0.31274,                0.85776,                0.95676,                0.96471,                0.95683,                0.73553,                 0.9633,                0.38309,                 1.0087,             0.00062155,             0.00062155,             0.00062155
